unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
231,The Starry Night,7,It makes me feel like my neighbourhood is under some climate threat. ,3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,4 - Agree,7,5,500,Bedroom,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Ramen noodles,Thunder sound 
232,The Starry Night,7,comfy,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,3,1,50,Living room,"Friends,Family members",Winter,Beef Stew,An echoey song with wind in the background.
233,The Starry Night,3,It makes me feel awake and observant.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,2,$150,Bedroom,Family members,Summer,Steak,"The soundtrack would have piano, it would be calming and very interesting to listen to."
234,The Starry Night,6,"Awe and wonder and the night sky, hope and brightness shining through a dark knight",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,4,500k,Dining room,Family members,"Spring,Summer",blueberry smoothie,some kind of lo-fi music where the beats are more laidback but ellicts a feeling of being wavy. Something that while not loud is still upbeat
235,The Starry Night,6,decent,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,3,4,20,Dining room,Family members,Winter,ramen,no music its just wind
236,The Starry Night,9,Nostalgia,5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,3,$50,"Office,Living room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Chicken Katsudon,Juna by Clairo
237,The Starry Night,7,Makes me feel at peace.,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,5,25,Bedroom,Family members,Winter,Blueberry smoothie ,The sound track for this painting would be noises of air blowing by.
238,The Starry Night,9,"Hopeful, bewildered, and amazed.",1 - Strongly disagree,2 - Disagree,2 - Disagree,1 - Strongly disagree,4,3,100 Million,"Bedroom,Office,Living room,Dining room","Friends,Family members,Strangers","Spring,Winter",A Popsicle,"Upbeat, glimmering, and hopeful."
239,The Starry Night,8,"It makes me feel like I'm in the painted world, perhaps viewing the sky as someone who's lost their mind",4 - Agree,2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2,4,50,Living room,Family members,"Fall,Winter",blueberry milkshake,"The soundtrack would be a slow paced descent, about a person losing their hold on reality"
240,The Starry Night,10,Relaxed,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,3,40,Bedroom,By yourself,"Summer,Fall",Prime rib,Beethoven 
241,The Starry Night,7,"Life keeps going on, it does not stop. The swirling feeling makes me feel like it is constantly moving and changing.",2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,4,50000,Bedroom,"Friends,Strangers","Spring,Fall",Chocolate,Apocalypse by CAS
242,The Starry Night,8,Happy ,4 - Agree,4 - Agree,3 - Neutral/Unsure,1 - Strongly disagree,4,3,1000,"Bathroom,Office","Friends,Family members",Winter,Ice cream,Soft Violin.
243,The Starry Night,5,It makes me want to look up at the sky,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,5,4,10,Living room,By yourself,Spring,A nice and smooth latte,It'd be classical music
244,The Starry Night,6,Nauseous,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,2,2,1000,"Office,Living room","Friends,Family members,By yourself",Winter,Ice cream,Energetic music
245,The Starry Night,8,intense but comforting at the same time,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4,3,2000,Bedroom,"Friends,Family members,By yourself","Fall,Winter",blueberry cheesecake,"dreamy, reflective"
246,The Starry Night,8,"Small, Wondrous, Calm, Melancholic, Fuzzy, Relaxed",5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,5,40,"Bedroom,Living room","Friends,By yourself",Winter,Yogurt,"Starry, Cloudy, Glittery, Soft, Lush"
247,The Starry Night,7,"Amazed and in awe, it makes me miss clear night skies where I can see stars. It also feels cozy with a small town vibe.",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,3,$50,"Bedroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Sushi,Thats Amore - Dean Martin
248,The Starry Night,4,silly,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,2 - Disagree,4,2,250,Living room,Friends,Spring,ramen,upbeat
249,The Starry Night,4,Good,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,1,2,100,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Ice Cream,Intense
250,The Starry Night,5,"it makes me appreciate the night sky, since we can't see much of it in larger cities. ",2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,5,1 million +,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates",Spring,cookie,"Calm, slow tempo, classical instrumental"
251,The Starry Night,7,it makes me feel content and happy,1 - Strongly disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4,3,100,"Bedroom,Office,Living room,Dining room","Friends,Strangers,By yourself","Spring,Summer",smores,"it would be happy, slow, melodic"
252,The Starry Night,,,,,,,,,,,,,,
253,The Starry Night,,,,,,,,,,,,,,
254,The Starry Night,,,,,,,,,,,,,,
255,The Starry Night,,,,,,,,,,,,,,
256,The Starry Night,,,1 - Strongly disagree,,,,,,,,,,,
257,The Starry Night,,,,,,,,,,,,,,
258,The Starry Night,,,,,,,,,,,,,,
259,The Starry Night,,,,,,,,,,,,,,
260,The Starry Night,7,,,,,,,,,,,,,
261,The Starry Night,,,,,,,,,,,,,,
262,The Starry Night,,,,,,,,,,,,,,
263,The Starry Night,7,,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,4,4,45,Living room,Friends,Winter,Noodles,
264,The Starry Night,,,,,,,,,,,,,,
265,The Starry Night,8,,,,,,,,,,,,Spaghetti,
266,The Starry Night,,,,,,,,,,,,,,
267,The Starry Night,,,,,,,,,,,,,,
268,The Starry Night,,,,,,,,,,,,,,
269,The Starry Night,,,,,,,,,,,,,,
270,The Starry Night,,,,,,,,,,,,,,
271,The Starry Night,5,Very calm and peaceful.,2 - Disagree,3 - Neutral/Unsure,4 - Agree,2 - Disagree,2,3,$200,"Bedroom,Office,Living room","Friends,Family members,By yourself","Spring,Summer",A steak.,"Classical Waltz, Ballroom Dancing, Ballet. Very calm music."
272,The Starry Night,8,Lots of uneasy emotions,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,4 - Agree,4,4,100,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Fall,Doughnut,Heavy metal
273,The Starry Night,3,It makes me feel calm and amused.,5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,14,$45.00,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Sticky toffee pudding.,Rainy late night drives music.
274,The Starry Night,6,"I feel dizzy at  the first look.

I find comfort by looking down over the village.",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,2,3,1000 CAD,Bathroom,"Friends,Family members",Winter,Dessert,String quartet
275,The Starry Night,10,It makes me feel calm and relaxed.,4 - Agree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,2,4,$200,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself",Summer,Blue cupcake,"Jazzy, a melody played on a piano, string instruments in the background, reverb, saxophone. "
276,The Starry Night,6,Calm,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,2,3,200,Bedroom,Friends,Summer,water,quiet and slow
277,The Starry Night,7,"Calm, attentive and engaged",4 - Agree,5 - Strongly agree,4 - Agree,2 - Disagree,3,3,300,Living room,Strangers,Fall,smoothie,a calm piano with eerie Halloween soundtrack elements.
278,The Starry Night,9,fantasy ,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral/Unsure,3,2,500,"Bedroom,Living room",Friends,Summer,grapes ,the sound of cicadas at night
279,The Starry Night,5,Peace and majesty ,2 - Disagree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,12,5,50000000000 doller,Bedroom,By yourself,Winter,Cake,Nocturne 
280,The Starry Night,3,Nighttime,3 - Neutral/Unsure,3 - Neutral/Unsure,5 - Strongly agree,1 - Strongly disagree,3,5,"Similar to the Dali one, 1-2k",Bedroom,By yourself,Winter,A late night soup,One of Beethoven s sonata
281,The Starry Night,10,Feel good,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,3,100,"Bedroom,Bathroom",By yourself,Summer,Mooncake,Very long song
282,The Starry Night,7,nostalgic and at ease,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,3,5,50,"Bedroom,Bathroom,Office","Friends,Family members,Coworkers/Classmates,Strangers,By yourself","Spring,Fall,Winter",skewers from a street food vendor,majestic and not too upbeat or slow.
283,The Starry Night,6,"Its calming feel, it reminds of the clam night sky on a quiet summer night. ",4 - Agree,4 - Agree,4 - Agree,2 - Disagree,2,2,1000 at most,Bedroom,"Friends,Family members,By yourself",Summer,"pasta, comfort food....",violin music. 
284,The Starry Night,8,Relaxed,4 - Agree,4 - Agree,5 - Strongly agree,2 - Disagree,3,4,100,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates",Winter,Chocolate glazed donut,A classic Christmas type instrumental with jingles and high piano notes
285,The Starry Night,9,Makes me feel anxious and sad,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,3,2,5000,"Bedroom,Office","Friends,Family members,Coworkers/Classmates,By yourself",Winter,Cold turkey sandwich,It would have slow soundtrack with heavy bass and low rhythm that feel heavy
286,The Starry Night,3,calm,5 - Strongly agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,3,$55,Office,"Family members,By yourself",Winter,ice cream,sombre piano music by erik satie
287,The Starry Night,7,Calmer,3 - Neutral/Unsure,2 - Disagree,4 - Agree,2 - Disagree,5,4,20,"Bedroom,Living room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Winter",Fresh soft piece of bread,calm piano melody
288,The Starry Night,7,"calm, peaceful",3 - Neutral/Unsure,4 - Agree,4 - Agree,1 - Strongly disagree,4,4,7,Bedroom,Family members,Winter,blueberry,"quiet, classical, soft, harmonic"
289,The Starry Night,9,This piece makes me feel calm and inspired; the swirling patterns and vibrant night sky give me a sense of wonder and tranquility.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,5,7,750000,Living room,Friends,Summer,"A swirling blueberry cheesecake with ribbons of lemon curd and starry sprinkles, vibrant and sweet just like the colors and motion.","A gentle, swirling orchestral piece with crescendos and twinkling notes that rise and fall, evoking a calm yet dynamic night atmosphere."
290,The Starry Night,8,"Calm, relaxed and content. It makes me feel accomplished and happy with my life. ",5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,4,20000,Office,"Friends,Family members,Coworkers/Classmates,Strangers",Spring,Ham and cheese sandwich with mayo and tomatoes,Calm and serene piano. Light synth in the background. A little acoustic guitar. Light drumming.
291,The Starry Night,3,Relaxed,2 - Disagree,4 - Agree,4 - Agree,2 - Disagree,3,3,50,"Bathroom,Living room,Dining room","Friends,Family members,Coworkers/Classmates","Fall,Winter",Beef wellington,"A smooth, slow and calm lofi type sound."
292,The Starry Night,10,This painting makes me feel calm and at ease.,1 - Strongly disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,4,3,1000,"Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Winter",Salmon and rice.,A soundtrack built from the echoing sound of bells.
293,The Starry Night,9,The painting makes me feel calm and starstruck as I enjoy the vibrant and deep colours filling the canvas.,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,3,20,$150,Living room,"Friends,Family members,By yourself","Fall,Winter",Chocolate Cake,"The soundtrack would move in gentle waves of sound, rising and falling in slow, swirling patterns. Soft tones would shimmer while deeper notes roll underneath, creating a calm but restless feeling, like motion that never fully sleeps."
294,The Starry Night,9,"Awe-struck, like the scale of the universe is revealed to the viewer. The painting ignites in me a curiosity to see more, to explore, and to find my place in a vast universe. ",2 - Disagree,5 - Strongly agree,5 - Strongly agree,1 - Strongly disagree,2,3,"$20,000","Bedroom,Office,Living room,Dining room","Friends,Family members,By yourself","Spring,Fall","A crisp, cold, vine of grapes. ","A layered, sci-fi melody that starts with one instrument and builds to a grand crescendo as the scale of the painting is revealed to the listener. "
